province,type,tanggal,klasifikasi,all_available_room,room_total,not_available_room,TPK,bulan,hari,jenis tanggal,klasifikasi2
Bali,Hotel,1/25/2021,Rated,32570,53152,20582,63.19312250537305,1,25,akhir,1
Bali,Hotel,1/25/2021,Not Rated,660,722,62,9.393939393939393,1,25,akhir,0
Bali,Hotel,1/26/2021,Rated,33619,54331,20712,61.60801927481484,1,26,akhir,1
Bali,Hotel,1/26/2021,Not Rated,657,716,59,8.980213089802131,1,26,akhir,0
Bali,Hotel,1/27/2021,Rated,32156,52956,20800,64.6846622714268,1,27,akhir,1
Bali,Hotel,1/27/2021,Not Rated,640,720,80,12.5,1,27,akhir,0
Bali,Hotel,1/28/2021,Rated,33504,54127,20623,61.55384431709646,1,28,akhir,1
Bali,Hotel,1/28/2021,Not Rated,641,718,77,12.012480499219969,1,28,akhir,0
Bali,Hotel,1/29/2021,Rated,33287,53844,20557,61.75684201039445,1,29,akhir,1
Bali,Hotel,1/29/2021,Not Rated,640,718,78,12.1875,1,29,akhir,0
Bali,Hotel,1/30/2021,Rated,35466,56014,20548,57.93717927028703,1,30,akhir,1
Bali,Hotel,1/30/2021,Not Rated,630,711,81,12.857142857142856,1,30,akhir,0
Bali,Hotel,1/31/2021,Rated,32535,53328,20793,63.90963577685569,1,31,akhir,1
Bali,Hotel,1/31/2021,Not Rated,643,722,79,12.28615863141524,1,31,akhir,0
Bali,Hotel,2/1/2021,Rated,35787,56201,20414,57.04306032916981,2,1,awal,1
Bali,Hotel,2/1/2021,Not Rated,609,702,93,15.270935960591133,2,1,awal,0
Bali,Hotel,2/2/2021,Rated,32535,53209,20674,63.5438758260335,2,2,awal,1
Bali,Hotel,2/2/2021,Not Rated,621,700,79,12.721417069243158,2,2,awal,0
Bali,Hotel,2/3/2021,Rated,35097,55182,20085,57.227113428498164,2,3,awal,1
Bali,Hotel,2/3/2021,Not Rated,653,722,69,10.566615620214396,2,3,awal,0
Bali,Hotel,2/4/2021,Rated,32996,53380,20384,61.77718511334708,2,4,awal,1
Bali,Hotel,2/4/2021,Not Rated,604,704,100,16.55629139072848,2,4,awal,0
Bali,Hotel,2/5/2021,Rated,34477,55090,20613,59.78768454331873,2,5,awal,1
Bali,Hotel,2/5/2021,Not Rated,627,702,75,11.961722488038278,2,5,awal,0
Bali,Hotel,2/6/2021,Rated,31788,52483,20695,65.10318359129231,2,6,awal,1
Bali,Hotel,2/6/2021,Not Rated,604,706,102,16.887417218543046,2,6,awal,0
Bali,Hotel,2/7/2021,Rated,34712,55361,20649,59.486632864715375,2,7,awal,1
Bali,Hotel,2/7/2021,Not Rated,612,706,94,15.359477124183007,2,7,awal,0
Bali,Hotel,2/8/2021,Rated,31256,52293,21037,67.30547734834911,2,8,awal,1
Bali,Hotel,2/8/2021,Not Rated,603,704,101,16.749585406301822,2,8,awal,0
Bali,Hotel,2/9/2021,Rated,34933,55846,20913,59.86602925600435,2,9,awal,1
Bali,Hotel,2/9/2021,Not Rated,615,721,106,17.235772357723576,2,9,awal,0
Bali,Hotel,2/10/2021,Rated,29183,50510,21327,73.0802179350992,2,10,awal,1
Bali,Hotel,2/10/2021,Not Rated,621,714,93,14.975845410628018,2,10,awal,0
Bali,Hotel,2/11/2021,Rated,30668,52205,21537,70.2262945089344,2,11,awal,1
Bali,Hotel,2/11/2021,Not Rated,629,721,92,14.626391096979333,2,11,awal,0
Bali,Hotel,2/12/2021,Rated,29416,50584,21168,71.96083763937993,2,12,awal,1
Bali,Hotel,2/12/2021,Not Rated,622,716,94,15.112540192926044,2,12,awal,0
Bali,Hotel,2/13/2021,Rated,30072,51659,21587,71.78438414471934,2,13,awal,1
Bali,Hotel,2/13/2021,Not Rated,624,717,93,14.903846153846153,2,13,awal,0
Bali,Hotel,2/14/2021,Rated,28515,50550,22035,77.27511835875855,2,14,awal,1
Bali,Hotel,2/14/2021,Not Rated,616,707,91,14.772727272727273,2,14,awal,0
Bali,Hotel,2/15/2021,Rated,30271,51659,21388,70.65508242212019,2,15,awal,1
Bali,Hotel,2/15/2021,Not Rated,621,708,87,14.009661835748794,2,15,awal,0
Bali,Hotel,2/16/2021,Rated,28581,50562,21981,76.90773590847067,2,16,akhir,1
Bali,Hotel,2/16/2021,Not Rated,626,713,87,13.89776357827476,2,16,akhir,0
Bali,Hotel,2/17/2021,Rated,31366,52668,21302,67.91430211056559,2,17,akhir,1
Bali,Hotel,2/17/2021,Not Rated,622,711,89,14.308681672025724,2,17,akhir,0
Bali,Hotel,2/18/2021,Rated,29372,50790,21418,72.91978755277134,2,18,akhir,1
Bali,Hotel,2/18/2021,Not Rated,618,703,85,13.754045307443366,2,18,akhir,0
Bali,Hotel,2/19/2021,Rated,29979,51900,21921,73.12118482938057,2,19,akhir,1
Bali,Hotel,2/19/2021,Not Rated,621,713,92,14.814814814814813,2,19,akhir,0
Bali,Hotel,2/20/2021,Rated,29064,50607,21543,74.1226259289843,2,20,akhir,1
Bali,Hotel,2/20/2021,Not Rated,632,715,83,13.132911392405063,2,20,akhir,0
Bali,Hotel,2/21/2021,Rated,28606,50040,21434,74.92833671257777,2,21,akhir,1
Bali,Hotel,2/21/2021,Not Rated,613,711,98,15.98694942903752,2,21,akhir,0
Bali,Hotel,2/22/2021,Rated,29337,50851,21514,73.33401506629853,2,22,akhir,1
Bali,Hotel,2/22/2021,Not Rated,671,729,58,8.64381520119225,2,22,akhir,0
Bali,Hotel,2/23/2021,Rated,28634,50085,21451,74.91443738213313,2,23,akhir,1
Bali,Hotel,2/23/2021,Not Rated,666,728,62,9.30930930930931,2,23,akhir,0
Bali,Hotel,2/24/2021,Rated,29003,50282,21279,73.36827224769851,2,24,akhir,1
Bali,Hotel,2/24/2021,Not Rated,677,739,62,9.15805022156573,2,24,akhir,0
Bali,Hotel,2/25/2021,Rated,25850,47098,21248,82.1972920696325,2,25,akhir,1
Bali,Hotel,2/25/2021,Not Rated,573,633,60,10.471204188481675,2,25,akhir,0
Bali,Hotel,2/26/2021,Rated,26040,47713,21673,83.22964669738863,2,26,akhir,1
Bali,Hotel,2/26/2021,Not Rated,586,649,63,10.750853242320819,2,26,akhir,0
Bali,Hotel,2/27/2021,Rated,25908,47433,21525,83.08244557665586,2,27,akhir,1
Bali,Hotel,2/27/2021,Not Rated,596,656,60,10.06711409395973,2,27,akhir,0
Bali,Hotel,2/28/2021,Rated,29256,50698,21442,73.29094886519005,2,28,akhir,1
Bali,Hotel,2/28/2021,Not Rated,673,737,64,9.50965824665676,2,28,akhir,0
Bali,Hotel,3/1/2021,Rated,28788,48698,19910,69.16076142837294,3,1,awal,1
Bali,Hotel,3/1/2021,Not Rated,669,729,60,8.968609865470851,3,1,awal,0
Bali,Hotel,3/2/2021,Rated,31512,51801,20289,64.38499619192687,3,2,awal,1
Bali,Hotel,3/2/2021,Not Rated,742,804,62,8.355795148247978,3,2,awal,0
Bali,Hotel,3/3/2021,Rated,34594,54469,19875,57.45215933398855,3,3,awal,1
Bali,Hotel,3/3/2021,Not Rated,744,804,60,8.064516129032258,3,3,awal,0
Bali,Hotel,3/4/2021,Rated,32012,51920,19908,62.18917905785331,3,4,awal,1
Bali,Hotel,3/4/2021,Not Rated,713,774,61,8.55539971949509,3,4,awal,0
Bali,Hotel,3/5/2021,Rated,30787,50461,19674,63.90359567349856,3,5,awal,1
Bali,Hotel,3/5/2021,Not Rated,681,742,61,8.95741556534508,3,5,awal,0
Bali,Hotel,3/6/2021,Rated,32967,53267,20300,61.57672824339491,3,6,awal,1
Bali,Hotel,3/6/2021,Not Rated,752,815,63,8.377659574468085,3,6,awal,0
Bali,Hotel,3/7/2021,Rated,31515,51816,20301,64.41694431223227,3,7,awal,1
Bali,Hotel,3/7/2021,Not Rated,649,706,57,8.782742681047766,3,7,awal,0
Bali,Hotel,3/8/2021,Rated,32836,52786,19950,60.75648678279937,3,8,awal,1
Bali,Hotel,3/8/2021,Not Rated,722,782,60,8.310249307479225,3,8,awal,0
Bali,Hotel,3/9/2021,Rated,30601,50717,20116,65.73641384268488,3,9,awal,1
Bali,Hotel,3/9/2021,Not Rated,669,730,61,9.118086696562033,3,9,awal,0
Bali,Hotel,3/10/2021,Rated,31772,51384,19612,61.72730706282261,3,10,awal,1
Bali,Hotel,3/10/2021,Not Rated,616,688,72,11.688311688311687,3,10,awal,0
Bali,Hotel,3/11/2021,Rated,30865,50808,19943,64.61364004535882,3,11,awal,1
Bali,Hotel,3/11/2021,Not Rated,711,768,57,8.016877637130802,3,11,awal,0
Bali,Hotel,3/12/2021,Rated,32682,52253,19571,59.883116088366684,3,12,awal,1
Bali,Hotel,3/12/2021,Not Rated,707,760,53,7.4964639321074955,3,12,awal,0
Bali,Hotel,3/13/2021,Rated,31895,42271,10376,32.53174478758426,3,13,awal,1
Bali,Hotel,3/13/2021,Not Rated,343,440,97,28.279883381924197,3,13,awal,0
Bali,Hotel,3/14/2021,Rated,33445,43592,10147,30.33936313350277,3,14,awal,1
Bali,Hotel,3/14/2021,Not Rated,402,462,60,14.925373134328357,3,14,awal,0
Bali,Hotel,3/15/2021,Rated,31935,51486,19551,61.221230624706436,3,15,awal,1
Bali,Hotel,3/15/2021,Not Rated,713,771,58,8.134642356241233,3,15,awal,0
Bali,Hotel,3/16/2021,Rated,33257,52838,19581,58.87783023122951,3,16,akhir,1
Bali,Hotel,3/16/2021,Not Rated,726,785,59,8.1267217630854,3,16,akhir,0
Bali,Hotel,3/17/2021,Rated,33737,53512,19775,58.615170287814564,3,17,akhir,1
Bali,Hotel,3/17/2021,Not Rated,749,803,54,7.209612817089453,3,17,akhir,0
Bali,Hotel,3/18/2021,Rated,32197,51528,19331,60.039755256700936,3,18,akhir,1
Bali,Hotel,3/18/2021,Not Rated,627,678,51,8.133971291866029,3,18,akhir,0
Bali,Hotel,3/19/2021,Rated,31776,51566,19790,62.27970795568984,3,19,akhir,1
Bali,Hotel,3/19/2021,Not Rated,583,640,57,9.777015437392796,3,19,akhir,0
Bali,Hotel,3/20/2021,Rated,31475,51505,20030,63.63780778395552,3,20,akhir,1
Bali,Hotel,3/20/2021,Not Rated,658,716,58,8.814589665653495,3,20,akhir,0
Bali,Hotel,3/22/2021,Rated,30535,50817,20282,66.42213852955625,3,22,akhir,1
Bali,Hotel,3/22/2021,Not Rated,628,685,57,9.076433121019107,3,22,akhir,0
Bali,Hotel,3/23/2021,Rated,31129,51168,20039,64.37405634617238,3,23,akhir,1
Bali,Hotel,3/23/2021,Not Rated,642,696,54,8.411214953271028,3,23,akhir,0
Bali,Hotel,3/24/2021,Rated,29175,49606,20431,70.02913453299058,3,24,akhir,1
Bali,Hotel,3/24/2021,Not Rated,589,644,55,9.337860780984721,3,24,akhir,0
Bali,Hotel,3/25/2021,Rated,30835,51398,20563,66.68720609696773,3,25,akhir,1
Bali,Hotel,3/25/2021,Not Rated,648,709,61,9.41358024691358,3,25,akhir,0
Bali,Hotel,3/26/2021,Rated,31824,52333,20509,64.44507290095525,3,26,akhir,1
Bali,Hotel,3/26/2021,Not Rated,666,732,66,9.90990990990991,3,26,akhir,0
Bali,Hotel,3/27/2021,Rated,36901,55659,18758,50.833310750386175,3,27,akhir,1
Bali,Hotel,3/27/2021,Not Rated,594,666,72,12.121212121212121,3,27,akhir,0
Bali,Hotel,3/28/2021,Rated,31319,50412,19093,60.96299370988857,3,28,akhir,1
Bali,Hotel,3/28/2021,Not Rated,611,679,68,11.129296235679215,3,28,akhir,0
Bali,Hotel,3/29/2021,Rated,35118,54390,19272,54.87784042371433,3,29,akhir,1
Bali,Hotel,3/29/2021,Not Rated,600,665,65,10.833333333333334,3,29,akhir,0
Bali,Hotel,3/30/2021,Rated,31608,50660,19052,60.275879524171096,3,30,akhir,1
Bali,Hotel,3/30/2021,Not Rated,631,696,65,10.301109350237718,3,30,akhir,0
Bali,Hotel,3/31/2021,Rated,36845,55820,18975,51.49952503731849,3,31,akhir,1
Bali,Hotel,3/31/2021,Not Rated,636,700,64,10.062893081761008,3,31,akhir,0
Bali,Hotel,4/1/2021,Rated,31440,51380,19940,63.42239185750637,4,1,awal,1
Bali,Hotel,4/1/2021,Not Rated,602,665,63,10.465116279069768,4,1,awal,0
Bali,Hotel,4/2/2021,Rated,35451,55728,20277,57.1972581873572,4,2,awal,1
Bali,Hotel,4/2/2021,Not Rated,671,743,72,10.730253353204173,4,2,awal,0
Bali,Hotel,4/3/2021,Rated,32392,52980,20588,63.55890343294641,4,3,awal,1
Bali,Hotel,4/3/2021,Not Rated,628,700,72,11.464968152866243,4,3,awal,0
Bali,Hotel,4/4/2021,Rated,35032,55427,20395,58.218200502397806,4,4,awal,1
Bali,Hotel,4/4/2021,Not Rated,628,728,100,15.92356687898089,4,4,awal,0
Bali,Hotel,4/5/2021,Rated,31174,51128,19954,64.00846859562456,4,5,awal,1
Bali,Hotel,4/5/2021,Not Rated,623,690,67,10.754414125200643,4,5,awal,0
Bali,Hotel,4/6/2021,Rated,33858,53680,19822,58.54450942170241,4,6,awal,1
Bali,Hotel,4/6/2021,Not Rated,604,679,75,12.417218543046356,4,6,awal,0
Bali,Hotel,4/7/2021,Rated,30547,50857,20310,66.48770746718172,4,7,awal,1
Bali,Hotel,4/7/2021,Not Rated,564,644,80,14.184397163120568,4,7,awal,0
Bali,Hotel,4/8/2021,Rated,34419,54660,20241,58.807635317702434,4,8,awal,1
Bali,Hotel,4/8/2021,Not Rated,643,719,76,11.81959564541213,4,8,awal,0
Bali,Hotel,4/9/2021,Rated,30687,51704,21017,68.48828494150617,4,9,awal,1
Bali,Hotel,4/9/2021,Not Rated,661,742,81,12.254160363086234,4,9,awal,0
Bali,Hotel,4/10/2021,Rated,35208,55579,20371,57.85900931606454,4,10,awal,1
Bali,Hotel,4/10/2021,Not Rated,663,746,83,12.518853695324283,4,10,awal,0
Bali,Hotel,4/11/2021,Rated,31829,52383,20554,64.57632976216658,4,11,awal,1
Bali,Hotel,4/11/2021,Not Rated,639,716,77,12.050078247261347,4,11,awal,0
Bali,Hotel,4/12/2021,Rated,34661,54406,19745,56.96604252618216,4,12,awal,1
Bali,Hotel,4/12/2021,Not Rated,653,722,69,10.566615620214396,4,12,awal,0
Bali,Hotel,4/13/2021,Rated,31988,52363,20375,63.695760910341384,4,13,awal,1
Bali,Hotel,4/13/2021,Not Rated,672,741,69,10.267857142857142,4,13,awal,0
Bali,Hotel,4/14/2021,Rated,34262,54038,19776,57.719922946704806,4,14,awal,1
Bali,Hotel,4/14/2021,Not Rated,642,711,69,10.74766355140187,4,14,awal,0
Bali,Hotel,4/15/2021,Rated,31857,51932,20075,63.015977650123986,4,15,awal,1
Bali,Hotel,4/15/2021,Not Rated,624,695,71,11.378205128205128,4,15,awal,0
Bali,Hotel,4/16/2021,Rated,35131,55044,19913,56.682132589450916,4,16,akhir,1
Bali,Hotel,4/16/2021,Not Rated,617,708,91,14.748784440842789,4,16,akhir,0
Bali,Hotel,4/17/2021,Rated,33320,53615,20295,60.909363745498204,4,17,akhir,1
Bali,Hotel,4/17/2021,Not Rated,616,709,93,15.0974025974026,4,17,akhir,0
Bali,Hotel,4/18/2021,Rated,35122,55236,20114,57.26894823757189,4,18,akhir,1
Bali,Hotel,4/18/2021,Not Rated,587,680,93,15.843270868824533,4,18,akhir,0
Bali,Hotel,4/19/2021,Rated,31304,51356,20052,64.05571173013034,4,19,akhir,1
Bali,Hotel,4/19/2021,Not Rated,570,665,95,16.666666666666664,4,19,akhir,0
Bali,Hotel,4/20/2021,Rated,35912,55950,20038,55.79750501225217,4,20,akhir,1
Bali,Hotel,4/20/2021,Not Rated,632,725,93,14.715189873417723,4,20,akhir,0
Bali,Hotel,4/21/2021,Rated,33711,53709,19998,59.32188306487497,4,21,akhir,1
Bali,Hotel,4/21/2021,Not Rated,621,714,93,14.975845410628018,4,21,akhir,0
Bali,Hotel,4/22/2021,Rated,34427,53802,19375,56.278502338281,4,22,akhir,1
Bali,Hotel,4/22/2021,Not Rated,588,680,92,15.646258503401361,4,22,akhir,0
Bali,Hotel,4/23/2021,Rated,33619,53488,19869,59.10050864094708,4,23,akhir,1
Bali,Hotel,4/23/2021,Not Rated,582,676,94,16.151202749140893,4,23,akhir,0
Bali,Hotel,4/24/2021,Rated,33647,53779,20132,59.83297173596457,4,24,akhir,1
Bali,Hotel,4/24/2021,Not Rated,597,689,92,15.41038525963149,4,24,akhir,0
Bali,Hotel,4/25/2021,Rated,34082,54138,20056,58.84631183615985,4,25,akhir,1
Bali,Hotel,4/25/2021,Not Rated,603,698,95,15.754560530679933,4,25,akhir,0
Bali,Hotel,4/26/2021,Rated,34172,53677,19505,57.078895001755825,4,26,akhir,1
Bali,Hotel,4/26/2021,Not Rated,598,692,94,15.719063545150503,4,26,akhir,0
Bali,Hotel,4/27/2021,Rated,32540,52211,19671,60.45175169022742,4,27,akhir,1
Bali,Hotel,4/27/2021,Not Rated,609,703,94,15.435139573070607,4,27,akhir,0
Bali,Hotel,4/28/2021,Rated,32723,51978,19255,58.84240442502215,4,28,akhir,1
Bali,Hotel,4/28/2021,Not Rated,568,661,93,16.37323943661972,4,28,akhir,0
Bali,Hotel,4/29/2021,Rated,34596,54319,19723,57.009480864839865,4,29,akhir,1
Bali,Hotel,4/29/2021,Not Rated,593,698,105,17.706576728499158,4,29,akhir,0
Bali,Hotel,4/30/2021,Rated,33688,53117,19429,57.67335549750653,4,30,akhir,1
Bali,Hotel,4/30/2021,Not Rated,622,709,87,13.987138263665594,4,30,akhir,0
Bali,Hotel,5/1/2021,Rated,34189,54462,20273,59.29684986399134,5,1,awal,1
Bali,Hotel,5/1/2021,Not Rated,626,720,94,15.015974440894569,5,1,awal,0
Bali,Hotel,5/3/2021,Rated,35544,54805,19261,54.189173981544,5,3,awal,1
Bali,Hotel,5/3/2021,Not Rated,613,706,93,15.171288743882544,5,3,awal,0
Bali,Hotel,5/4/2021,Rated,35064,54676,19612,55.93201003878622,5,4,awal,1
Bali,Hotel,5/4/2021,Not Rated,634,726,92,14.511041009463725,5,4,awal,0
Bali,Hotel,5/5/2021,Rated,34269,54356,20087,58.61565846683592,5,5,awal,1
Bali,Hotel,5/5/2021,Not Rated,640,729,89,13.90625,5,5,awal,0
Bali,Hotel,5/6/2021,Rated,36179,55868,19689,54.4210729981481,5,6,awal,1
Bali,Hotel,5/6/2021,Not Rated,638,730,92,14.420062695924765,5,6,awal,0
Bali,Hotel,5/7/2021,Rated,35425,55617,20192,56.99929428369796,5,7,awal,1
Bali,Hotel,5/7/2021,Not Rated,645,739,94,14.573643410852712,5,7,awal,0
Bali,Hotel,5/8/2021,Rated,30784,50876,20092,65.26767151767152,5,8,awal,1
Bali,Hotel,5/8/2021,Not Rated,618,713,95,15.372168284789645,5,8,awal,0
Bali,Hotel,5/9/2021,Rated,33406,54043,20637,61.77632760581931,5,9,awal,1
Bali,Hotel,5/9/2021,Not Rated,623,714,91,14.606741573033707,5,9,awal,0
Bali,Hotel,5/10/2021,Rated,33086,53486,20400,61.65749863990811,5,10,awal,1
Bali,Hotel,5/10/2021,Not Rated,610,699,89,14.59016393442623,5,10,awal,0
Bali,Hotel,5/11/2021,Rated,34055,54172,20117,59.07208926736162,5,11,awal,1
Bali,Hotel,5/11/2021,Not Rated,588,681,93,15.816326530612246,5,11,awal,0
Bali,Hotel,5/12/2021,Rated,33340,53538,20198,60.581883623275345,5,12,awal,1
Bali,Hotel,5/12/2021,Not Rated,617,708,91,14.748784440842789,5,12,awal,0
Bali,Hotel,5/13/2021,Rated,31869,52309,20440,64.1375631491418,5,13,awal,1
Bali,Hotel,5/13/2021,Not Rated,610,701,91,14.918032786885247,5,13,awal,0
Bali,Hotel,5/14/2021,Rated,32364,52820,20456,63.20603139290569,5,14,awal,1
Bali,Hotel,5/14/2021,Not Rated,612,706,94,15.359477124183007,5,14,awal,0
Bali,Hotel,5/15/2021,Rated,33722,53747,20025,59.38259889686258,5,15,awal,1
Bali,Hotel,5/15/2021,Not Rated,626,714,88,14.057507987220447,5,15,awal,0
Bali,Hotel,5/16/2021,Rated,35147,55409,20262,57.64930150510712,5,16,akhir,1
Bali,Hotel,5/16/2021,Not Rated,651,740,89,13.671274961597543,5,16,akhir,0
Bali,Hotel,5/17/2021,Rated,34162,53796,19634,57.47321585387273,5,17,akhir,1
Bali,Hotel,5/17/2021,Not Rated,625,717,92,14.719999999999999,5,17,akhir,0
Bali,Hotel,5/18/2021,Rated,35932,54808,18876,52.532561505065125,5,18,akhir,1
Bali,Hotel,5/18/2021,Not Rated,616,710,94,15.259740259740258,5,18,akhir,0
Bali,Hotel,5/19/2021,Rated,32721,53474,20753,63.42410073041778,5,19,akhir,1
Bali,Hotel,5/19/2021,Not Rated,668,739,71,10.62874251497006,5,19,akhir,0
Bali,Hotel,5/20/2021,Rated,33819,54192,20373,60.24128448505278,5,20,akhir,1
Bali,Hotel,5/20/2021,Not Rated,661,737,76,11.497730711043873,5,20,akhir,0
Bali,Hotel,5/21/2021,Rated,34556,55115,20559,59.49473318671142,5,21,akhir,1
Bali,Hotel,5/21/2021,Not Rated,623,713,90,14.446227929373997,5,21,akhir,0
Bali,Hotel,5/22/2021,Rated,34745,54968,20223,58.20405813786156,5,22,akhir,1
Bali,Hotel,5/22/2021,Not Rated,616,712,96,15.584415584415584,5,22,akhir,0
Bali,Hotel,5/23/2021,Rated,34630,55419,20789,60.031764366156516,5,23,akhir,1
Bali,Hotel,5/23/2021,Not Rated,637,726,89,13.971742543171114,5,23,akhir,0
Bali,Hotel,5/24/2021,Rated,33882,54785,20903,61.69352458532554,5,24,akhir,1
Bali,Hotel,5/24/2021,Not Rated,637,732,95,14.91365777080063,5,24,akhir,0
Bali,Hotel,5/25/2021,Rated,34257,54648,20391,59.52360101585078,5,25,akhir,1
Bali,Hotel,5/25/2021,Not Rated,625,718,93,14.879999999999999,5,25,akhir,0
Bali,Hotel,5/26/2021,Rated,33862,54393,20531,60.631386214635874,5,26,akhir,1
Bali,Hotel,5/26/2021,Not Rated,626,718,92,14.696485623003195,5,26,akhir,0
Bali,Hotel,5/27/2021,Rated,32938,53738,20800,63.14894650555589,5,27,akhir,1
Bali,Hotel,5/27/2021,Not Rated,610,702,92,15.081967213114755,5,27,akhir,0
Bali,Hotel,5/28/2021,Rated,32278,53627,21349,66.14102484664477,5,28,akhir,1
Bali,Hotel,5/28/2021,Not Rated,630,717,87,13.80952380952381,5,28,akhir,0
Bali,Hotel,5/29/2021,Rated,31186,52532,21346,68.44738023472071,5,29,akhir,1
Bali,Hotel,5/29/2021,Not Rated,624,711,87,13.942307692307693,5,29,akhir,0
Bali,Hotel,5/30/2021,Rated,31212,52064,20852,66.8076380879149,5,30,akhir,1
Bali,Hotel,5/30/2021,Not Rated,605,692,87,14.380165289256198,5,30,akhir,0
Bali,Hotel,6/1/2021,Rated,35520,56133,20613,58.0320945945946,6,1,awal,1
Bali,Hotel,6/1/2021,Not Rated,636,726,90,14.150943396226415,6,1,awal,0
Bali,Hotel,6/2/2021,Rated,34714,55270,20556,59.215302183557064,6,2,awal,1
Bali,Hotel,6/2/2021,Not Rated,658,732,74,11.246200607902736,6,2,awal,0
Bali,Hotel,6/3/2021,Rated,32485,53435,20950,64.49130367862091,6,3,awal,1
Bali,Hotel,6/3/2021,Not Rated,649,725,76,11.710323574730355,6,3,awal,0
